year,site,tsq,chs_max_ln,chs_mean_ln,chs_sd_ln,chs_cv_ln,chs_gini_ln,openness_ln,enl0_ln,enl1_ln,enl2_ln,boxdim_ln,slope,aspect,chs_max_tsq,chs_mean_tsq,chs_sd_tsq,chs_cv_tsq,chs_gini_tsq,openness_tsq,enl0_tsq,enl1_tsq,enl2_tsq,boxdim_tsq
2023,A,F35_0306,13.5,7.2,2.5,0.3,0.2,0,14,7.175,6.108,1.8751,28.7,NA,12.6,7.7,1.2,0.2,0.1,0,12,6.671,5.825,1.7935
2023,A,F35_1113,13.3,11.2,1.9,0.2,0.1,0,13,11.49,10.435,1.8615,20.4,NA,12.9,11,1.1,0.1,0,0,12,9.144,7.97,1.7247
2023,A,F35_1814,10.5,7.5,1.1,0.1,0.1,0,10,7.171,6.344,2.0187,24.8,NA,9.8,7.6,1.1,0.1,0.1,0,10,7.11,6.255,1.7977
2023,A,C33_0918,15.1,9.8,1.9,0.2,0.1,0,15,9.803,8.769,1.9161,42.5,NA,15.1,9.7,1.7,0.2,0.1,0,14,8.147,7.096,1.739
2023,A,C33_0609,16.5,9.7,1.5,0.2,0.1,0,15,9.422,8.439,1.8875,39.5,NA,14.9,9.8,0.7,0.1,0,0,12,8.627,7.656,1.681
2023,A,D33_0407,12.6,11.1,0.7,0.1,0,0,13,10.892,10.029,2.0487,30.6,NA,12.1,11,0.3,0,0,0,12,9.58,8.604,1.657
2023,A,H30_0606,11.8,9.9,1.2,0.1,0.1,0,12,9.967,9.092,2.0057,26.8,NA,11.8,10.8,0.6,0.1,0,0,12,9.499,8.481,1.853
2023,A,H30_0611,12.6,9.4,2.1,0.2,0.1,0,13,9.345,8.186,2.0786,23,NA,11.8,10.2,0.9,0.1,0,0,12,9.416,8.077,1.8588
2023,A,H30_1010,10.7,8.9,0.7,0.1,0,0,11,8.655,7.694,2.0047,23.8,NA,10.2,8.8,0.5,0.1,0,0,10,7.262,5.696,1.6976
2023,A,I29_0208,12.2,9.6,1.5,0.2,0.1,0,12,9.79,8.789,2.0366,14.2,NA,12.2,9.8,1.9,0.2,0.1,0,12,8.796,7.462,1.8081
2023,A,I29_0717,10.7,9.9,0.6,0.1,0,0,11,7.903,6.646,1.9929,23.1,NA,10.6,9.8,0.8,0.1,0,0,11,7.126,6.315,1.8166
